14:42:51 - Buffer: lvp | interpreted_ar: مرح | back_to_en: lvp
14:42:51 - TRIGGERED: Arabic in English mode
14:42:59 - Buffer: hig | interpreted_ar: اهل | back_to_en: hig
14:42:59 - Buffer: high | interpreted_ar: اهلا | back_to_en: high
14:43:06 - Buffer: lwv | interpreted_ar: مصر | back_to_en: lwv
14:43:06 - TRIGGERED: Arabic in English mode
14:43:14 - Buffer: the | interpreted_ar: فاث | back_to_en: the
14:43:14 - Buffer: ther | interpreted_ar: فاثق | back_to_en: ther
14:43:14 - Buffer: there | interpreted_ar: فاثقث | back_to_en: there
14:43:16 - Buffer: sei | interpreted_ar: سثه | back_to_en: sei
14:43:16 - Buffer: seif | interpreted_ar: سثهب | back_to_en: seif
14:43:18 - Buffer: whe | interpreted_ar: صاث | back_to_en: whe
14:43:18 - Buffer: wher | interpreted_ar: صاثق | back_to_en: wher
14:43:18 - Buffer: where | interpreted_ar: صاثقث | back_to_en: where
14:43:19 - Buffer: are | interpreted_ar: شقث | back_to_en: are
14:43:20 - Buffer: fro | interpreted_ar: بقخ | back_to_en: fro
14:43:21 - Buffer: from | interpreted_ar: بقخة | back_to_en: from
14:43:26 - Buffer: wor | interpreted_ar: صخق | back_to_en: wor
14:43:26 - Buffer: work | interpreted_ar: صخقن | back_to_en: work
14:43:26 - Buffer: worke | interpreted_ar: صخقنث | back_to_en: worke
14:43:26 - Buffer: worked | interpreted_ar: صخقنثي | back_to_en: worked
14:43:27 - Buffer: but | interpreted_ar: لاعف | back_to_en: but
14:43:31 - Buffer: bar | interpreted_ar: لاشق | back_to_en: bar
14:43:31 - Buffer: bare | interpreted_ar: لاشقث | back_to_en: bare
14:43:31 - Buffer: barel | interpreted_ar: لاشقثم | back_to_en: barel
14:43:31 - Buffer: barely | interpreted_ar: لاشقثمغ | back_to_en: barely
14:43:33 - Buffer: not | interpreted_ar: ىخف | back_to_en: not
14:43:33 - Buffer: noti | interpreted_ar: ىخفه | back_to_en: noti
14:43:33 - Buffer: notic | interpreted_ar: ىخفهؤ | back_to_en: notic
14:43:33 - Buffer: notice | interpreted_ar: ىخفهؤث | back_to_en: notice
